image_path,has_beaver,confidence,reason,bbox,has_animal,animal_type,animal_confidence,animal_reason,model_id,error
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000333_beavertrail_control_20250227_09100065.jpg,False,0.85,"The animal on the right appears to be a raccoon based on its body shape, pointed snout, and fur pattern. The smaller animal on the left appears to be an opossum with its lighter colored face. No beaver characteristics like flat tail, rounded body, or typical beaver profile visible.",,True,raccoon,0.85,"Animal visible on right side of fallen log with characteristic raccoon body shape, fur pattern, and ringed tail visible in infrared trail cam image",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000334_beavertrail_control_20250227_09100066.jpg,False,0.85,"The animal visible on the right side of the image appears to be a raccoon based on its distinctive ringed tail pattern and body shape. No beaver characteristics such as flat paddle tail, rounded body, or typical beaver silhouette are present.",,True,raccoon,0.85,"Visible animal on right side of fallen log with distinctive striped tail pattern characteristic of raccoon, captured by trail cam at night",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000335_beavertrail_control_20250227_09100067.jpg,False,0.85,"The animal on the right appears to be a raccoon based on its ringed tail and body shape. The smaller animal on the left on the log appears to be a small rodent, possibly a mouse or vole. No beaver characteristics visible - no flat paddle tail, no typical beaver body shape.",,True,raccoon,0.85,Two animals visible - one on the left side of the log and one on the right side showing characteristic raccoon body shape with striped tail visible on the right animal,arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000355_beavertrail_control_20250227_09100069.jpg,False,0.95,"The image shows raccoons on a fallen log over water. The distinctive ringed tails and body shape are clearly visible, characteristic of raccoons, not beavers. No beaver features such as flat paddle-shaped tails, beaver body shape, or beaver activity are present.",,True,raccoon,0.95,"Clear view of raccoon on fallen log with distinctive ringed tail visible, eyes reflecting camera flash, characteristic body shape and posture",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000356_beavertrail_control_20250227_09100070.jpg,False,0.95,"The animal on the log is clearly a raccoon, identifiable by its distinctive masked face with reflective eyes, ringed tail, and body shape. No beaver or beaver-related evidence visible in this trail camera image.",,True,raccoon,0.95,"Clear raccoon visible on fallen log with characteristic eye shine, masked face, and striped tail visible in trail camera night vision image",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000357_beavertrail_control_20250227_09100071.jpg,False,0.95,The image shows raccoons on a fallen log over water. The animals have distinctive raccoon features including ringed tails and masked faces visible in the infrared trail camera image. No beaver characteristics are present.,,True,raccoon,0.95,"Two raccoons visible on fallen log - characteristic masked face with eye shine, ringed tails clearly visible, typical body shape and posture",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000415_beavertrail_control_20250227_09100073.jpg,True,0.85,"Small mammal visible on the fallen log in upper left portion of image shows characteristic beaver body shape and fur coloring. The rounded body, small ears, and positioning near water/woody debris is consistent with beaver behavior on a trail camera at night.",,True,unknown,0.6,"Small light-colored animal visible on the log in the left portion of the image, possibly a small mammal. Also appears to be something in the lower right corner near the water.",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000416_beavertrail_control_20250227_09100074.jpg,True,0.85,"Small mammal visible on the fallen log near water, showing characteristic beaver body shape and posture. The rounded body and positioning near water/logs is consistent with beaver behavior at night.",,True,unknown,0.4,"There appears to be a small light-colored animal shape on the fallen log in the left portion of the image, possibly a small mammal, but the infrared night image makes species identification difficult",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000417_beavertrail_control_20250227_09100075.jpg,True,0.85,Small mammal visible on the fallen log near water appears to be a beaver based on its rounded body shape and positioning near what looks like a beaver pond/dam area with characteristic woody debris,,True,unknown,0.6,"Small light-colored animal visible on the fallen log in the upper left portion of the image, possibly a small mammal, but details are unclear in the infrared night image",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
s3://training-data2-727117753557-us-west-2/training-data2-images/20240910_000618_beavertrail_control_20250227_09100097.jpg,True,0.85,Small mammal visible on the fallen log in upper left portion of image shows characteristic beaver body shape with rounded back and fur texture consistent with beaver. The habitat with fallen logs near water is typical beaver environment.,,True,unknown,0.6,"Small light-colored animal visible on the fallen log in upper left portion of image, appears to be a small mammal but species unclear due to image quality and distance",arn:aws:bedrock:us-east-2:727117753557:inference-profile/us.anthropic.claude-opus-4-5-20251101-v1:0,
